"file","title","status","referenceCenter","referenceIdiom","harmonyCount","signalScore","iiVCells","appliedDominants","primaryDominants","tritoneSubstitutions","diminishedChords","resolvedDiminished","modalBorrowingColors","minorPlagalCadences","tonicMajorSixths","slashChordDensity","examples","notes"
"imported-real-book/a-010-After you.musicxml","After you","ok","Bb major","minor-functional","34","14.72","1","7","2","0","1","0","3","0","3","0.06","Ebm6 / Ab7 / D7 / G7 / C7 / F7 / Bb6 / F7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: minor-functional"
"imported-real-book/a-011-After you've gone.musicxml","After you've gone","ok","C major","minor-functional","44","25.54","8","5","6","1","0","0","5","0","0","0.02","F7 / Eb7 / G7(b9) / G7 / G(add9)(b7) / C/E / Bb7 / A7(9)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: minor-functional"
"imported-real-book/a-012-Afternoon in Paris.musicxml","Afternoon in Paris","ok","Db major","blues","36","17.8","2","9","7","1","0","0","0","0","0","0","Ab7 / E7 / Eb7 / Ab7 / Db7 / Gb7 / Eb7 / Ab7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: blues"
"imported-real-book/a-013-Ain't it the truth.musicxml","Ain't it the truth","ok","Eb major","blues","77","31.52","0","14","4","0","5","3","2","3","9","0.06","Eb6 / E° / C7 / F#° / Bb7 / Eb/G / Eb6 / Eb7","dominantes aplicadas recorrentes; diminutos com resolucao local; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/a-014-Ain't misbehavin.musicxml","Ain't misbehavin","ok","Bb minor","minor-functional","46","12.9","4","4","4","1","0","0","0","0","0","0","C7alt / F7(b9) / F7alt / Bb7 / G7 / Gb7 / F7 / Eb7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-015-Airegin.musicxml","Airegin","ok","Ab major","blues","54","24.94","6","3","9","2","10","2","0","0","10","0.02","Ab6 / Eb7 / Ab6 / Eb7 / Ab6 / Ab7 / Db6 / D°","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/a-017-Aja.musicxml","Aja","ok","C major","minor-functional","51","13.44","0","3","4","5","1","1","0","0","0","0.02","Gsus4(7) / A7 / A7 / Gsus4(7) / F#° / Gsus4(7) / G7 / G7(#5)","dominantes aplicadas recorrentes; diminutos com resolucao local; leitura harmonica inferida: minor-functional"
"imported-real-book/a-019-Alfie.musicxml","Alfie","ok","Bb minor","minor-functional","40","7.2","2","0","8","0","0","0","0","0","0","0","Ab7 / F7(b9) / Ab7 / F7(b9) / Ab7 / F7(b9) / F7(b9)","cadencias ii-V detectadas; leitura harmonica inferida: minor-functional"
"imported-real-book/a-020-Alfie's theme.musicxml","Alfie's theme","ok","C major","major-functional","54","24.1","7","8","5","3","0","0","0","0","0","0","G7 / E7 / Eb7 / G7 / G7 / A7 / G7 / D7","cadencias ii-V detectadas; dominantes aplicadas recorrentes"
"imported-real-book/a-021-Alice in wonderland.musicxml","Alice in wonderland","ok","B minor","minor-functional","37","6.5","3","1","3","0","0","0","0","0","0","0","F#7 / F#7 / F#7 / A7 / A7 / F#7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-022-All alone.musicxml","All alone","ok","G major","blues","7","3","0","1","1","1","0","0","0","0","0","0","G7 / C7 / G7 / D7(#9) / Eb7(#9) / D7(#9,b13) / G7","dominantes aplicadas recorrentes; leitura harmonica inferida: blues"
"imported-real-book/a-023-All blues.musicxml","All blues","ok","D minor","minor-functional","45","14.3","1","11","1","0","0","0","0","0","0","0.2","Dm/C / Gsus4(7) / Csus4(7) / Dm/C / D7 / G7 / Csus4(7) / Dm/C","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-024-All in love is fair.musicxml","All in love is fair","ok","A minor","minor-functional","45","9.34","2","3","6","0","0","0","0","0","0","0.02","D7(b9) / E7(b9) / D7(b9) / E7(b9) / D7(b9) / Gsus4(7) / G7 / Fsus4(7)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-025-All my tomorrows.musicxml","All my tomorrows","ok","C major","major-functional","24","12","2","6","2","0","1","0","0","1","1","0","E7 / A7 / E7 / D7 / G7 / E7 / A7 / A7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9"
"imported-real-book/a-026-All of me.musicxml","All of me","ok","Eb major","major-functional","37","18.6","4","5","3","0","1","0","0","4","2","0.05","Abm6 / Bb7(b9) / Abm6 / Bb7 / Eb6/G / Gbdim / Bb7 / D7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9"
"imported-real-book/a-027-All of you.musicxml","All of you","ok","A minor","minor-functional","88","7.1","0","3","2","1","2","1","0","0","0","0.05","Am6 / C7 / Am6 / Bb9 / Bb7 / Bb6 / Bb7 / Gm6","dominantes aplicadas recorrentes; diminutos com resolucao local; leitura harmonica inferida: minor-functional"
"imported-real-book/a-028-All or nothing at all.musicxml","All or nothing at all","ok","Ab major","major-functional","34","17.8","6","7","3","0","1","0","1","0","0","0","Eb7 / G7 / Bb7 / D7 / D7 / B7 / C7(#5) / Eb7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional"
"imported-real-book/a-030-All the things you are.musicxml","All the things you are","ok","Bb major","blues","38","13.46","3","5","3","1","2","0","0","0","3","0.03","Bb7 / F7 / Bb9 / G7 / Fsus4(7,9) / F7(b9) / Bb6 / Bb7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/a-031-Almost like being in love.musicxml","Almost like being in love","ok","D minor","minor-functional","44","22.7","8","4","8","3","0","0","0","0","0","0","A7(b9) / A7(b9) / D7(b9) / E7 / C7 / F7 / A7 / A7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-032-Alone together.musicxml","Alone together","ok","G minor","minor-functional","43","12.14","3","6","1","1","0","0","0","0","0","0.02","E7 / E7 / Ab7 / Gb7 / C7 / C7 / A7(#5) / G7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-033-Along came Betty.musicxml","Along came Betty","ok","A minor","minor-functional","58","5.86","2","2","1","0","0","0","0","0","0","0.33","F/G / E/G# / Fm/Ab / C/G / Eb6/9 / D7 / F/G / FmM7/G","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-034-Always and forever.musicxml","Always and forever","ok","Bb minor","minor-functional","55","4.1","0","1","2","1","0","0","0","0","0","0.25","Gsus4(b9,7) / Eb/G / Gsus4(b9,7) / Eb/G / Cm7/G / Gsus4(7) / Cm7/G / Db/F","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-035-Ana Maria.musicxml","Ana Maria","ok","C minor","minor-functional","61","29.8","6","4","11","8","1","1","0","0","0","0","Ab7 / D7 / G7 / Ab9 / G7 / D7 / Ab7 / G7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; leitura harmonica inferida: minor-functional"
"imported-real-book/a-037-Angel eyes.musicxml","Angel eyes","ok","F# minor","minor-functional","34","10.4","3","4","4","0","0","0","0","0","0","0","E13 / C#7alt / E13 / C#7alt / E13 / C#7alt / A7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-039-Another Time.musicxml","Another Time","ok","Bb major","blues","49","25.5","4","11","6","0","0","0","2","0","7","0","Bb6 / G7 / F7 / Bb6 / C7 / F7 / Bb7 / Bb7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/a-040-Anthropology.musicxml","Anthropology","ok","D minor","minor-functional","33","16.7","6","7","3","0","2","0","0","0","0","0","A7 / A7 / A7 / A7 / C7 / F7 / B° / D7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-042-April.musicxml","April","ok","C major","blues","46","16.54","4","6","4","0","2","1","0","1","0","0.07","Gsus4(7,b9) / G7 / C7 / E7 / Am/G / B7(b9) / E7 / A7(b9)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/a-045-April in Paris.musicxml","April in Paris","ok","Bb major","major-functional","25","1.42","0","1","0","0","0","0","0","0","0","0.16","Am7/D / A/Bb / D7 / Bb/C / Bb/C / Asus4(7)","dominantes aplicadas recorrentes"
"imported-real-book/a-046-April joy.musicxml","April joy","ok","C minor","minor-functional","37","11.02","0","6","7","0","1","0","0","0","0","0.11","D7 / G7 / D7 / G7 / C7(b9) / D7(b9)/F# / Ab° / D7/A","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-047-Armando's rhumba.musicxml","Armando's rhumba","ok","Eb major","minor-functional","76","21.22","3","5","6","0","8","3","2","0","6","0.16","Bb7(9) / Bb9sus4(7,9) / Bbm6 / Bb7(b9) / Eb6/9 / F#dim7 / F7 / Adim7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: minor-functional"
"imported-real-book/a-048-As time goes by.musicxml","As time goes by","ok","G minor","minor-functional","53","18.4","0","7","7","5","0","0","0","0","0","0","Bb13 / A7alt / Bb13 / A7alt / Bb13 / A7alt / A7alt / Bb13","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-049-Asa.musicxml","Asa","ok","G minor","minor-functional","53","18.4","0","7","7","5","0","0","0","0","0","0","Bb13 / A7alt / Bb13 / A7alt / Bb13 / A7alt / A7alt / Bb13","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-052-Ask me now.musicxml","Ask me now","ok","C major","major-functional","63","36.8","13","11","11","1","1","1","0","0","0","0","A7 / G13 / A7 / G7(#9) / A7 / G7(b9) / A7 / G7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local"
"imported-real-book/a-053-At last.musicxml","At last","ok","F major","blues","21","8","2","3","2","0","0","0","1","0","0","0","C7 / F7(#5) / Bb7(b9) / Eb7 / D7 / C7 / D7(b9) / C7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/a-054-Au privave.musicxml","Au privave","ok","G minor","minor-functional","54","19.9","3","9","2","4","0","0","0","0","0","0","Bb6 / C7 / D7(b9) / Bb6 / C7 / D7 / Eb7 / G7(b9)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-055-Autumn in New York.musicxml","Autumn in New York","ok","G minor","minor-functional","35","15.96","6","4","5","1","0","0","0","0","0","0.03","F7 / E7 / Eb7 / D7 / D7 / D7(b9) / F7 / E7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-056-Autumn leaves.musicxml","Autumn leaves","ok","Bb major","major-functional","18","8.2","3","2","4","0","0","0","0","0","0","0","F7 / F7 / F7 / G7 / Ebm6 / F7 / G7 / F7","cadencias ii-V detectadas; dominantes aplicadas recorrentes"
"imported-real-book/b-002-Baby It's Cold Outside.musicxml","Baby It's Cold Outside","ok","G minor","minor-functional","19","6.6","0","6","0","0","0","0","0","0","0","0","F7 / F7 / Bb7 / F7 / C7 / F7 / C7 / F7","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/b-003-Bag's groove.musicxml","Bag's groove","ok","Bb major","major-functional","40","15","0","9","2","3","2","0","0","0","0","0","A7 / D7 / Eb7 / C7 / F#dim7 / F7 / Gb7 / Eb7","dominantes aplicadas recorrentes"
