"file","title","status","referenceCenter","referenceIdiom","harmonyCount","signalScore","iiVCells","appliedDominants","primaryDominants","tritoneSubstitutions","diminishedChords","resolvedDiminished","modalBorrowingColors","minorPlagalCadences","tonicMajorSixths","slashChordDensity","examples","notes"
"imported-real-book/b-004-Ballin' the jack.musicxml","Ballin' the jack","ok","C major","blues","13","8.3","0","4","1","0","0","0","3","0","0","0","Bb7 / Eb7 / Eb7(#11) / Bb7 / Bb7(#11) / Eb7 / Ab7 / Eb7","dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/b-005-Ba-lue Bolivar ba-lues are.musicxml","Ba-lue Bolivar ba-lues are","ok","F major","blues","13","2.3","0","1","2","0","0","0","0","0","0","0","C7 / F7 / F7 / Bb7 / C7(b9) / C7","dominantes aplicadas recorrentes; leitura harmonica inferida: blues"
"imported-real-book/b-007-Basin street blues.musicxml","Basin street blues","ok","F minor","minor-functional","58","24.96","5","2","9","5","10","4","0","0","0","0.03","C7 / Bb7 / C7 / C7(b5) / Edim7 / Gb9 / G° / Fm/Ab","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; leitura harmonica inferida: minor-functional"
"imported-real-book/b-008-Be bop.musicxml","Be bop","ok","D minor","minor-functional","25","13.6","3","4","5","2","0","0","0","0","0","0","A7(#5) / D7 / C7 / A7 / Bb7 / E7 / A7 / B7(b5)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/b-009-Beautiful love.musicxml","Beautiful love","ok","A minor","minor-functional","32","15.2","0","2","0","10","0","0","0","0","0","0","C7 / Db7 / C7 / Eb7 / D7 / Db7 / Db7 / C7","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/b-010-Bemsha swing.musicxml","Bemsha swing","ok","D minor","minor-functional","29","12.3","6","3","3","0","0","0","0","0","0","0","Bb9 / A7 / A7 / Bb6 / F7 / Bb6 / F7 / Bb6","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/b-011-Bernie's tune.musicxml","Bernie's tune","ok","Ab major","blues","24","3.66","0","0","3","1","1","0","0","0","1","0.08","Eb7 / Ab7 / Eb7 / Eb7 / Ab7 / Eb7 / Db7 / C7","cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/b-012-Bessie's blues.musicxml","Bessie's blues","ok","C major","major-functional","43","11.58","2","4","3","0","6","2","0","0","1","0.09","C#° / D#° / C/E / E7 / F#° / C/G / D7 / G7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; cor de tonica 6/6-9"
"imported-real-book/b-013-Bewitched.musicxml","Bewitched","ok","G minor","minor-functional","29","8.46","0","6","3","0","2","0","0","0","0","0.03","F7 / Bb7 / B° / F7 / F7 / Bb7 / B° / F7","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/b-014-Billie's bounce.musicxml","Billie's bounce","ok","Bb major","blues","13","6.4","2","2","3","0","0","0","0","0","0","0","Bb7 / F7 / Bb7 / Eb7 / G7 / F7 / F7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: blues"
