"file","sourceId","title","status","measures","noteCount","harmonyCount","sectionCount","keySignature","windowMeasures","proposalCount","referenceOverlapCount","selectedCenter","selectedCenterSource","primaryProposalName","primaryChords","parseError"
"d-026-Don't blame me.musicxml","d","Don't blame me","harmonized","24","102","45","2","C","1 2 3 4 5 6 7 8","11","6","C major","reference","Estratégia — Tonal Clássico","Cmaj7 / Fmaj7 | G7 / Cmaj7",""
"d-028-Don't go to strangers.musicxml","d","Don't go to strangers","harmonized","33","105","43","4","C","1 2 3 4 5 6 7 8","9","7","C major","reference","Estratégia — Contraponto de Baixo","Cmaj7 / Fmaj7 / D7/F# | G7 / Cmaj9",""
"d-029-Don't take your love from me.musicxml","d","Don't take your love from me","harmonized","25","164","31","0","Db","1 2 3 4 5 6 7 8","10","5","Db major","reference","Estratégia — Dominantes secundárias","Db | Gb | Db/F | Db7 | Gb | Gb | Cm7b5 / Eb7/Db / Ab7/C | Db",""
"d-030-Doodlin'.musicxml","d","Doodlin'","harmonized","36","157","41","3","C","1 2 3 4 5 6 7 8","5","8","Eb major","reference","Estratégia — Cromático Linear","Ebmaj7 / Dm7b5/E / Dm7b5/E | Dm7b5/F",""
"d-031-Douce ambiance.musicxml","d","Douce ambiance","harmonized","17","78","24","3","Eb","1 2 3 4 5 6 7 8","2","3","A minor","melody","Estratégia — Gramática funcional ii-V","Dm7 | G7 | Cmaj7",""
"e-002-E.S.P..musicxml","e","E.S.P.","harmonized","27","121","43","3","C","1 2 3 4 5 6 7 8","9","8","C major","reference","Estratégia — Cromático Linear","Cmaj7 / Cdim7/Db / D7 / G#dim7/G",""
"e-003-Early autumn.musicxml","e","Early autumn","harmonized","36","110","44","0","G","1 2 3 4 5 6 7 8","5","7","A minor","reference","Estratégia — Tonal Clássico","Dmaj7/A / Bm7/D / E7 / Am7",""
"e-005-Easy living.musicxml","e","Easy living","harmonized","25","59","25","0","C","1 2 3 4 5 6 7 8","6","8","C major","reference","Estratégia — Tonal Clássico","C6 / Fmaj7 / G7 / C6",""
"e-006-Easy to love.musicxml","e","Easy to love","harmonized","25","102","41","0","Eb","1 2 3 4 5 6 7 8","8","8","Eb major","reference","Estratégia — Centro de referência","Bb7 | Eb | Bb7/D | Eb | Bb7/D | Cm7 | Eb | Eb",""
"e-007-Eclypso.musicxml","e","Eclypso","harmonized","43","100","24","0","F","1 2 3 4 5 6 7 8","11","5","F major","melody","Estratégia — Cromático Linear","Fmaj7 / Fdim7/Gb / Fdim7/Gb / G7",""
"e-008-Eighty one.musicxml","e","Eighty one","harmonized","18","86","16","0","C","1 2 3 4 5 6 7 8","9","8","F minor","reference","Estratégia — Contraponto de Baixo","Fmaj9 / Bbmaj7 / G7/B / E7/C / Fmaj9",""
"e-009-El gaucho.musicxml","e","El gaucho","harmonized","40","102","45","2","G","1 2 3 4 5 6 7 8","7","8","G major","reference","Estratégia — Tonal Clássico","Gmaj7 / Cmaj7 / Gmaj7/D / Gdim7",""
"e-010-Emily.musicxml","e","Emily","harmonized","34","143","56","0","F","1 2 3 4 5 6 7 8","8","7","F major","reference","Estratégia — Contraponto de Baixo","Fmaj7 / Bbmaj7 / G7/B / Fdim7/C / D#dim7/F",""
"e-011-End of a love affair.musicxml","e","End of a love affair","harmonized","34","154","59","4","C","1 2 3 4 5 6 7 8","5","8","F# major","melody","Estratégia — Cromático Linear","F#maj7 / A#dim7/G / B#dim7/G / G#7",""
"e-013-Equinox.musicxml","e","Equinox","harmonized","26","136","40","0","G","1 2 3 4 5 6 7 8","9","8","G major","reference","Estratégia — Vamp dominante","G13sus4 / G13 | G13 | F13sus4 / F13 | G13 | G13sus4 / G13 | G13sus4 / G13 | G13sus4 / G13 | G13",""
"e-014-Eronel.musicxml","e","Eronel","harmonized","44","144","38","0","C","1 2 3 4 5 6 7 8","5","5","D minor","reference","Estratégia — Contraponto de Baixo","Dmaj9 / Em7/G / Cmaj7/E / A7 / Dmaj9",""
"e-015-Estaté.musicxml","e","Estaté","harmonized","32","111","34","0","F","1 2 3 4 5 6 7 9","5","5","D minor","reference","Estratégia — Tonal Clássico","Dmaj7 / A7/G / Dmaj7/A / Dmaj7",""
"e-016-Everybody loves my baby.musicxml","e","Everybody loves my baby","harmonized","28","157","59","3","Bb","1 2 3 4 5 6 7 8","6","7","C minor","reference","Estratégia — Centro de referência","Cm7 | Dm7b5 | Cm7 | Bb7 | Bb7 | Fm7/Ab | Cm6/G | Cm6",""
"e-018-Everything's coming up roses.musicxml","e","Everything's coming up roses","harmonized","24","54","34","0","Eb","1 2 3 4 5 6 7 8","4","8","F minor","reference","Estratégia — Centro de referência","Fm6 | Bbm7 | Fm7/Ab | Fm7 | Bbm7 | Bbm7 | Fm7/Ab | Fm7",""
"e-019-Evidence.musicxml","e","Evidence","harmonized","32","111","37","0","C","1 2 3 4 5 6 7 8","7","6","C major","reference","Estratégia — Tonal Clássico","Cmaj7 / Fmaj7 / G13 / Cmaj7",""
"e-020-Exactly like you.musicxml","e","Exactly like you","harmonized","13","83","16","0","C","1 2 3 4 5 6 7 8","5","7","F minor","reference","Estratégia — Centro de referência","C7 | Bbm7 | Fm/Ab | Fm7 | Fm7 | Eb7 | Fm6 | Fm6",""
"f-004-Fair weather.musicxml","f","Fair weather","harmonized","26","95","30","0","C","1 2 3 4 5 6 7 8","8","7","G minor","reference","Estratégia — Cromático Linear","Ebmaj7/G / Bdim7/Ab / Bdim7/Ab / A7",""
