"file","title","referenceChordCount","referenceMeasureCount","referenceDensity","referenceDenseMeasures","generatedIdeaCount","generatedDenseIdeaCount","maximumGeneratedDensity","status"
"imported-real-book/c-033-Cousin Mary.musicxml","Cousin Mary","32","22","1.45","10","5","1","1.33","referencia-densa-coberta"
"imported-real-book/c-034-Crazeology.musicxml","Crazeology","51","25","2.04","23","5","1","1.14","referencia-densa-coberta"
"imported-real-book/c-035-Cry me a river.musicxml","Cry me a river","46","35","1.31","5","4","0","1","lacuna-de-densidade"
"imported-real-book/c-036-Crystal silence.musicxml","Crystal silence","47","27","1.74","20","4","0","1","lacuna-de-densidade"
"imported-real-book/d-002-D natural blues.musicxml","D natural blues","38","26","1.46","12","4","1","1.46","referencia-densa-coberta"
"imported-real-book/d-003-Daahood.musicxml","Daahood","38","25","1.52","10","5","1","1.52","referencia-densa-coberta"
"imported-real-book/d-004-Dancing in the dark.musicxml","Dancing in the dark","35","24","1.46","11","6","0","1","lacuna-de-densidade"
"imported-real-book/d-005-Dancing on the ceiling.musicxml","Dancing on the ceiling","58","26","2.23","24","4","1","2.23","referencia-densa-coberta"
"imported-real-book/d-006-Darn that dream.musicxml","Darn that dream","37","17","2.18","16","3","0","1","lacuna-de-densidade"
"imported-real-book/d-008-Day of wine and roses.musicxml","Day of wine and roses","36","22","1.64","13","0","0","0","lacuna-de-densidade"
"imported-real-book/d-009-Dear John.musicxml","Dear John","33","25","1.32","8","1","0","1","lacuna-de-densidade"
"imported-real-book/d-010-Dear old Stockholm.musicxml","Dear old Stockholm","27","23","1.17","4","5","0","1","lacuna-de-densidade"
"imported-real-book/d-011-Dearly beloved.musicxml","Dearly beloved","30","23","1.3","7","3","1","1.4","referencia-densa-coberta"
"imported-real-book/d-012-Deed i do.musicxml","Deed i do","43","34","1.26","9","3","0","1","lacuna-de-densidade"
"imported-real-book/d-013-Deep purple.musicxml","Deep purple","24","14","1.71","10","2","0","1","lacuna-de-densidade"
"imported-real-book/d-014-Deluge.musicxml","Deluge","29","29","1","0","1","0","1","referencia-contida"
"imported-real-book/d-015-Desafinado.musicxml","Desafinado","78","51","1.53","21","4","0","1","lacuna-de-densidade"
"imported-real-book/d-017-Detour ahead.musicxml","Detour ahead","40","26","1.54","14","7","0","1","lacuna-de-densidade"
"imported-real-book/d-018-Dexterity.musicxml","Dexterity","36","26","1.38","9","10","5","1.38","referencia-densa-coberta"
"imported-real-book/d-019-Dinah.musicxml","Dinah","40","33","1.21","7","2","1","1.21","referencia-densa-coberta"
"imported-real-book/d-020-Dindi.musicxml","Dindi","52","26","2","20","4","0","1","lacuna-de-densidade"
"imported-real-book/d-021-Do nothing'til you hear from me.musicxml","Do nothing'til you hear from me","53","26","2.04","22","5","0","1","lacuna-de-densidade"
"imported-real-book/d-022-Do you know what it means to miss New Orleans -.musicxml","Do you know what it means to miss New Orleans ?","37","32","1.16","5","2","0","1","lacuna-de-densidade"
"imported-real-book/d-023-Dolphin dance.musicxml","Dolphin dance","40","36","1.11","4","6","0","1","lacuna-de-densidade"
"imported-real-book/d-025-Donna Lee.musicxml","Donna Lee","44","24","1.83","17","3","0","1","lacuna-de-densidade"
"imported-real-book/d-026-Don't blame me.musicxml","Don't blame me","45","20","2.25","12","7","4","1.29","referencia-densa-coberta"
"imported-real-book/d-028-Don't go to strangers.musicxml","Don't go to strangers","43","30","1.43","13","6","0","1","lacuna-de-densidade"
"imported-real-book/d-029-Don't take your love from me.musicxml","Don't take your love from me","31","20","1.55","6","5","0","1","lacuna-de-densidade"
"imported-real-book/d-030-Doodlin'.musicxml","Doodlin'","41","32","1.28","8","6","1","1.28","referencia-densa-coberta"
"imported-real-book/d-031-Douce ambiance.musicxml","Douce ambiance","24","16","1.5","7","3","0","1","lacuna-de-densidade"
"imported-real-book/e-002-E.S.P..musicxml","E.S.P.","43","26","1.65","11","6","0","1","lacuna-de-densidade"
"imported-real-book/e-003-Early autumn.musicxml","Early autumn","44","34","1.29","10","2","0","1","lacuna-de-densidade"
"imported-real-book/e-005-Easy living.musicxml","Easy living","25","24","1.04","1","3","1","1.04","referencia-densa-coberta"
"imported-real-book/e-006-Easy to love.musicxml","Easy to love","41","24","1.71","17","5","0","1","lacuna-de-densidade"
