"file","title","status","referenceCenter","referenceIdiom","harmonyCount","dominantCount","simple","color","altered","highAltered","resolvedAltered","contextualAltered","unresolvedAltered","resolvedColor","unresolvedColor","subVResolutions","delayedResolutions","prolongedResolutions","deceptiveResolutions","alteredResolutionRatio","unresolvedAlteredRatio","examples","notes"
"imported-real-book/a-020-Alfie's theme.musicxml","Alfie's theme","ok","C major","major-functional","54","21","20","0","1","0","1","0","0","0","0","3","1","0","4","1","0","B7(b9) -> Em7 (altered)","dominantes alteradas com resolução local; resoluções cromáticas tipo SubV"
"imported-real-book/a-021-Alice in wonderland.musicxml","Alice in wonderland","ok","B minor","minor-functional","37","9","9","0","0","0","0","0","0","0","0","1","2","0","2","0","0","","resoluções cromáticas tipo SubV"
"imported-real-book/a-022-All alone.musicxml","All alone","ok","G major","blues","7","7","4","0","2","1","2","1","0","0","0","1","0","0","1","0.67","0","D7(#9) -> Eb7(#9) (altered) / Eb7(#9) -> D7(#9,b13) (altered) / D7(#9,b13) -> G7 (high-altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; resoluções cromáticas tipo SubV"
"imported-real-book/a-023-All blues.musicxml","All blues","ok","D minor","minor-functional","45","18","12","3","2","1","2","1","0","3","0","0","0","1","5","0.67","0","D7(#9) -> Gm7 (altered) / A7alt -> Dm (high-altered) / Eb9 -> F/C (color) / G9 -> Csus4(7) (color) / A7(b9) -> Bbm7 (altered) / Eb9 -> F/C (color)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes"
"imported-real-book/a-024-All in love is fair.musicxml","All in love is fair","ok","A minor","minor-functional","45","16","5","0","11","0","7","4","0","0","0","0","0","1","6","0.64","0","D7(b9) -> Bm7 (altered) / E7(b9) -> Am7 (altered) / D7(b9) -> Bm7 (altered) / E7(b9) -> Am7 (altered) / D7(b9) -> Gsus4(7) (altered) / E7(b9) -> Am7 (altered) / D7(b9) -> Bm7 (altered) / E7(b9) -> Am7 (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual"
"imported-real-book/a-025-All my tomorrows.musicxml","All my tomorrows","ok","C major","major-functional","24","10","10","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/a-026-All of me.musicxml","All of me","ok","Eb major","major-functional","37","12","9","0","3","0","1","2","0","0","0","0","3","0","1","0.33","0","Bb7(b9) -> Abm6 (altered) / Bb7(b9) -> Abm6 (altered) / D7(b9) -> Gm7 (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual"
"imported-real-book/a-027-All of you.musicxml","All of you","ok","A minor","minor-functional","88","28","18","5","5","0","3","1","1","5","0","3","2","3","6","0.6","0.2","Bb9 -> Bb7 (color) / Db9(#11) -> G7(#5) (color) / G7(#5) -> C (altered) / E7(#9) -> Ab (altered) / C7(#5) -> C7 (altered) / Db9 -> Db7 (color) / E7(#5) -> Am (altered) / Bb9 -> Bb7 (color)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes alteradas sem alvo imediato; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/a-028-All or nothing at all.musicxml","All or nothing at all","ok","Ab major","major-functional","34","11","10","0","1","0","1","0","0","0","0","0","0","0","0","1","0","C7(#5) -> Fm7 (altered)","dominantes alteradas com resolução local"
"imported-real-book/a-030-All the things you are.musicxml","All the things you are","ok","Bb major","blues","38","15","11","2","2","0","2","0","0","1","1","1","0","1","1","1","0","Bb9 -> Dm7 (color) / Fsus4(7,9) -> F7(b9) (color) / F7(b9) -> Bb6 (altered) / F7(b9) -> Bb6 (altered)","dominantes alteradas com resolução local; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/a-031-Almost like being in love.musicxml","Almost like being in love","ok","D minor","minor-functional","44","17","9","0","8","0","8","0","0","0","0","3","0","0","0","1","0","A7(b9) -> Dm (altered) / A7(b9) -> Dm (altered) / D7(b9) -> Gm (altered) / D7(b9) -> Gm (altered) / C7(b9) -> F (altered) / A7(b9) -> Dm (altered) / A7(b9) -> Dm (altered) / A7(b9) -> Dm (altered)","dominantes alteradas com resolução local; resoluções cromáticas tipo SubV"
"imported-real-book/a-032-Alone together.musicxml","Alone together","ok","G minor","minor-functional","43","17","12","0","5","0","3","2","0","0","0","1","1","1","2","0.6","0","A7(#5) -> Dm7 (altered) / A7(#9) -> Fm7 (altered) / F7(b9) -> Bbm7(b5) (altered) / Eb7(b9) -> Eb7(#9) (altered) / Eb7(#9) -> Ab (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; resoluções cromáticas tipo SubV"
"imported-real-book/a-033-Along came Betty.musicxml","Along came Betty","ok","A minor","minor-functional","58","6","3","0","3","0","2","1","0","0","0","0","0","0","1","0.67","0","G7(b9)/B -> Am7 (altered) / D7(b9) -> G (altered) / E7(b9) -> Am7 (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual"
"imported-real-book/a-034-Always and forever.musicxml","Always and forever","ok","Bb minor","minor-functional","55","20","3","9","8","0","2","6","0","7","2","1","5","0","8","0.25","0","Gsus4(b9,7) -> Eb/G (altered) / Gsus4(b9,7) -> Eb/G (altered) / Csus4(7,9) -> D/C (color) / Csus4(7,9) -> Ab(add9)/C (color) / Gsus4(b9,7) -> Eb/G (altered) / Gsus4(7,13) -> Fsus4(7) (color) / Ebsus4(7,9) -> D (color) / F7(#5) -> Bbm7(9) (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/a-035-Ana Maria.musicxml","Ana Maria","ok","C minor","minor-functional","61","30","17","8","3","2","5","0","0","6","2","9","3","0","2","1","0","Ab9 -> Cm7 (color) / A7alt -> Ab9 (high-altered) / Ab9 -> G7(#5) (color) / G7(#5) -> Cm(7) (altered) / Eb7(13) -> Ab (color) / Eb7(13) -> Ab (color) / D7(13) -> G (color) / Ab9 -> Cm7 (color)","dominantes alteradas com resolução local; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/a-037-Angel eyes.musicxml","Angel eyes","ok","F# minor","minor-functional","34","12","6","3","0","3","3","0","0","1","2","0","0","0","1","1","0","E13 -> D (color) / C#7alt -> F#m9 (high-altered) / E13 -> F#m9 (color) / C#7alt -> F#m9 (high-altered) / E13 -> D (color) / C#7alt -> F#m9 (high-altered)","dominantes alteradas com resolução local; dominantes coloridas recorrentes"
"imported-real-book/a-039-Another Time.musicxml","Another Time","ok","Bb major","blues","49","25","25","0","0","0","0","0","0","0","0","2","6","1","1","0","0","","resoluções cromáticas tipo SubV"
"imported-real-book/a-040-Anthropology.musicxml","Anthropology","ok","D minor","minor-functional","33","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/a-042-April.musicxml","April","ok","C major","blues","46","14","8","0","5","1","5","1","0","0","0","0","4","0","0","0.83","0","Gsus4(7,b9) -> C (altered) / B7(b9) -> Bm7 (altered) / A7(b9) -> Dm7 (altered) / B7(b9) -> E (altered) / Gsus4(7,b9) -> C (altered) / A7alt -> D7 (high-altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual"
"imported-real-book/a-045-April in Paris.musicxml","April in Paris","ok","Bb major","major-functional","25","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/a-046-April joy.musicxml","April joy","ok","C minor","minor-functional","37","22","16","0","6","0","6","0","0","0","0","0","0","2","7","1","0","C7(b9) -> Fm7 (altered) / D7(b9)/F# -> Gm7 (altered) / G7(#5) -> Cm7 (altered) / G7(b9) -> Cm7 (altered) / G7(b9) -> Cm7 (altered) / G7(#5) -> Cm (altered)","dominantes alteradas com resolução local"
"imported-real-book/a-047-Armando's rhumba.musicxml","Armando's rhumba","ok","Eb major","minor-functional","76","28","18","4","4","2","3","3","0","4","0","2","4","2","3","0.5","0","Bb7(9) -> Bb9sus4(7,9) (color) / Bb9sus4(7,9) -> Bbm6 (color) / Bb7(b9) -> Eb6/9 (altered) / Bb9sus4(7,9) -> Bb7(b9) (color) / Bb7(b9) -> Eb (altered) / G7(#5) -> G7 (altered) / E7(b9) -> Bb7 (altered) / Bb7(b9,b13) -> Fm7 (high-altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/a-048-As time goes by.musicxml","As time goes by","ok","G minor","minor-functional","53","30","0","14","7","9","14","2","0","14","0","5","1","0","9","0.88","0","Bb13 -> A7alt (color) / A7alt -> Dm7 (high-altered) / Bb13 -> A7alt (color) / A7alt -> Dm7 (high-altered) / Bb13 -> A7alt (color) / A7alt -> Dm7 (high-altered) / A7alt -> Dm7 (high-altered) / Bb13 -> A7alt (color)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/a-049-Asa.musicxml","Asa","ok","G minor","minor-functional","53","30","0","14","7","9","14","2","0","14","0","5","1","0","9","0.88","0","Bb13 -> A7alt (color) / A7alt -> Dm7 (high-altered) / Bb13 -> A7alt (color) / A7alt -> Dm7 (high-altered) / Bb13 -> A7alt (color) / A7alt -> Dm7 (high-altered) / A7alt -> Dm7 (high-altered) / Bb13 -> A7alt (color)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/a-052-Ask me now.musicxml","Ask me now","ok","C major","major-functional","63","28","16","1","11","0","11","0","0","1","0","1","1","0","1","1","0","G13 -> C (color) / G7(#9) -> C (altered) / G7(b9) -> C (altered) / G7(b13) -> C (altered) / G7(#9) -> C (altered) / A7(b9) -> Dm7 (altered) / G7(b9) -> C (altered) / E7(#5) -> Am7 (altered)","dominantes alteradas com resolução local; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
